All,ทั้งหมด
"Only <span id=""%1_max_allowed"">%2</span> in stock","มีเพียง <span id=""%1_max_allowed"">%2</span> ในสต็อก"
Item,รายการ
"See price before order confirmation.",โปรดตรวจสอบราคาก่อนยืนยันการสั่งซื้อ
"What's this?",นี่คืออะไร?
"Incl. Tax",รวมภาษี
"Excl. Tax",ไม่รวมภาษี
"Edit item parameters","แก้ไข item parameters"
Edit,แก้ไข
"Remove item",ลบสินค้า
"Products Requiring Attention",สินค้าที่ต้องให้ความสนใจ
"Add to Cart",เพิ่มในตะกร้าสินค้า
Sku,รหัสสินค้า
File,ไฟล์
"File extensions allowed: .csv","ไฟล์ที่อนุญาต: .csv"
"Add Row",เพิ่มแถว
"Remove Row",ลบแถว
"Add Products By SKU","เพิ่มสินค้า ด้วย รหัสสินค้า"
"Shopping Cart Management","การจัดการ ตะกร้าสินค้า"
"View Shopping Cart",ดูตะกร้าสินค้า
"View and modify Shopping Cart",ดูและปรับปรุงตะกร้าสินค้า
"Order by SKU Settings","ตั้งค่า การจัดเรียงโดย รหัสสินค้า"
"Enable Order by SKU on My Account in Storefront","เปิดใช้งาน การสั่งซื้อด้วยรหัสสินค้า บน My Account ใน Storefront"
"Customer Groups",กลุ่มลูกค้า
"Apply Coupon",ใช้รหัสคูปอง
"Order by SKU Description","รายละเอียด การจัดเรียงโดย รหัสสินค้า"
"Display a Link to Loading a Spreadsheet",แสดงลิงก์เพื่อโหลดสเปรดชีต
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","กำหนดว่าจะเชื่อมโยงไปยังบัญชีของฉันหรือไม่ &gt; สั่งซื้อตามหน้า SKU จะแสดงบนวิดเจ็ต"
"Link Text",ข้อความลิงก์
"The text of the link to the My Account &gt; Order by SKU page","ข้อความของลิงก์ไปยังบัญชีของฉัน &gt; สั่งซื้อโดยเพจ SKU"
"Load a list of SKUs","โหลดรายการ SKU"
"Order by SKU Template","เทมเพลต การจัดเรียงโดย รหัสสินค้า"
"This customer couldn't be found. Verify the customer and try again.","ไม่พบลูกค้ารายนี้ ตรวจสอบลูกค้าและลองอีกครั้ง"
"This store couldn't be found. Verify the store and try again.","ไม่พบร้านค้านี้ ตรวจสอบร้านค้าและลองอีกครั้ง"
"An error occurred. For details, see the error log.","เกิดข้อผิดพลาด. สำหรับรายละเอียด โปรดดูบันทึกข้อผิดพลาด"
"The ordered item needs to be loaded. Load the item and try again.","ต้องโหลดรายการที่สั่งซื้อ โหลดรายการแล้วลองอีกครั้ง"
"The quote item ID needs to be received. Set the ID and try again.","ต้องได้รับรหัสรายการใบเสนอราคา ตั้งค่า ID แล้วลองอีกครั้ง"
"The quote item needs to be loaded. Load the item and try again.","ต้องโหลดรายการใบเสนอราคา โหลดรายการแล้วลองอีกครั้ง"
"The wish list item ID needs to be received. Set the ID and try again.","ต้องได้รับ ID รายการสินค้าที่ต้องการ ตั้งค่า ID แล้วลองอีกครั้ง"
"The wish list item needs to be loaded. Load the item and try again.","ต้องโหลดรายการสินค้าที่ต้องการ โหลดรายการแล้วลองอีกครั้ง"
"The file is corrupt and can't be used.",ไฟล์เสียหายและไม่สามารถใช้งานได้
"Please correct the data sent.",โปรดแก้ไขข้อมูลที่ส่ง
"Entity type model '%1' is not found","ไม่พบโมเดลประเภทเอนทิตี '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","โมเดลประเภทเอนทิตีต้องเป็นอินสแตนซ์ของ \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export",ไม่มีประเภทสินค้าที่สามารถส่งออกได้
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 คลาสไม่ได้ใช้ \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule",กฎการขาย
"Index sales rule",กฎการขายดัชนี
"Related Search Terms",คำค้นหาที่เกี่ยวข้อง
"Add New Search Term",เพิ่มคำค้นหาใหม่
button_label,ป้ายกำกับปุ่ม
"Missing search engine parameter.",ไม่มีพารามิเตอร์เครื่องมือค้นหา
"Successful! Test again?","ประสบความสำเร็จ! ทดสอบอีกครั้ง?"
"Connection failed! Test again?","การเชื่อมต่อล้มเหลว! ทดสอบอีกครั้ง?"
"Enable Search Recommendations",เปิดใช้งานคำแนะนำการค้นหา
"When you enable this option your site may slow down.",เมื่อคุณเปิดใช้งานตัวเลือกนี้เว็บไซต์ของคุณอาจช้าลง
"Search Recommendations Count",นับจำนวนคำแนะนำการค้นหา
"Show Results Count for Each Recommendation",แสดงจำนวนสำหรับคำแนะนำแต่ละรายการ
"Enable Search Suggestions",เปิดใช้งานคำแนะนำการค้นหา
"Search Suggestions Count",นับจำนวนคำแนะนำการค้นหา
"Show Results Count for Each Suggestion",แสดงจำนวนสำหรับคำแนะนำแต่ละรายการ
"Related search terms",คำค้นหาที่เกี่ยวข้อง
"Did you mean",คุณหมายถึง
"Search Query",คำค้นหา
Store,ร้านค้า
Results,ผลลัพธ์
"Redirect URL","ส่งต่อ URL"
"Suggested Term",คำที่แนะนำ
Yes,ใช่
"RPC call failed, connection timed out after %time_out.","การโทร RPC ล้มเหลว การเชื่อมต่อหมดเวลาหลังจาก %time_out"
"Message has been rejected: %1","ข้อความถูกปฏิเสธ: %1"
"Error while checking if topic is synchronous",เกิดข้อผิดพลาดขณะตรวจสอบว่าหัวข้อตรงกันหรือไม่
"Subscription status",สถานะการสมัครรับข่าวสาร
"Sorry, there has been an error processing your request. Please try again later.","ขออภัย เกิดข้อผิดพลาดในการดำเนินการตามคำขอของคุณ โปรดลองอีกครั้งในภายหลัง."
"Cron settings can't be saved","ไม่สามารถบันทึกการตั้งค่า Cron ได้"
"There was an error save new configuration value.",มีข้อผิดพลาดในการบันทึกค่าการกำหนดค่าใหม่
"--Please Select--",--กรุณาเลือก--
"These arguments can't be empty ""%1""","อาร์กิวเมนต์เหล่านี้ไม่สามารถเว้นว่างไว้ได้ ""%1"""
"Cannot find predefined integration user!",ไม่พบผู้ใช้การรวมที่กำหนดไว้ล่วงหน้า!
"File is not ready yet.",ไฟล์ยังไม่พร้อม
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","URL ฐานของคุณมีการเปลี่ยนแปลง และรายงานของคุณกำลังได้รับการอัปเดต การรายงานขั้นสูงจะพร้อมใช้งานเมื่อการเปลี่ยนแปลงนี้ได้รับการประมวลผลแล้ว โปรดลองอีกครั้งในภายหลัง."
"Failed to synchronize data to the Magento Business Intelligence service. ","ไม่สามารถซิงโครไนซ์ข้อมูลกับบริการ Magento Business Intelligence "
TestMessage,ข้อความทดสอบ
"Apps and Games",แอพและเกม
"Athletic/Sporting Goods",อุปกรณ์กีฬา/เครื่องกีฬา
"Art and Design",ศิลปะและการออกแบบ
"Advanced Reporting",การรายงานขั้นสูง
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","รับข้อมูลเชิงลึกใหม่ๆ และควบคุมประสิทธิภาพของธุรกิจของคุณ โดยใช้ผลิตภัณฑ์ คำสั่งซื้อ และรายงานลูกค้าแบบไดนามิกของเราที่ปรับให้เหมาะกับข้อมูลลูกค้าของคุณ"
"Go to Advanced Reporting",ไปที่การรายงานขั้นสูง
Analytics,การวิเคราะห์
Configuration,การกำหนดค่า
"Advanced Reporting Service",บริการรายงานขั้นสูง
"Time of day to send data",เวลาของวันในการส่งข้อมูล
Industry,อุตสาหกรรม
"In order to personalize your Advanced Reporting experience, please select your industry.","เพื่อปรับแต่งประสบการณ์การรายงานขั้นสูงของคุณ โปรดเลือกอุตสาหกรรมของคุณ"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>รับข้อมูลเชิงลึกเพิ่มเติมจาก Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence ให้คุณมีเส้นทางสู่.ที่ง่ายและชัดเจน
                    ขับเคลื่อนด้วยข้อมูลมากขึ้น</br> เรียนรู้เพิ่มเติมเกี่ยวกับ <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">ระดับ Magento BI Essentials และ BI Pro</a>"
"Auto Parts",อะไหล่รถยนต์
"Baby/Children’s Apparel, Gear and Toys","เสื้อผ้า อุปกรณ์ และของเล่นสำหรับเด็ก/เด็ก"
"Beauty and Cosmetics",ความงามและเครื่องสำอาง
"Books, Music and Magazines","หนังสือ เพลง และนิตยสาร"
"Crafts and Stationery",หัตถกรรมและเครื่องเขียน
"Consumer Electronics",เครื่องใช้ไฟฟ้า
"Deal Site",เว็บไซต์ดีล
"Fashion Apparel and Accessories",เครื่องแต่งกายและเครื่องประดับแฟชั่น
"Food, Beverage and Grocery","อาหาร เครื่องดื่ม และของชำ"
"Home Goods and Furniture",ของใช้ในบ้านและเฟอร์นิเจอร์
"Home Improvement",การปรับปรุงบ้าน
"Jewelry and Watches",เครื่องประดับและนาฬิกา
"Office Supplies",เครื่องใช้สำนักงาน
"Outdoor and Camping Gear",อุปกรณ์กลางแจ้งและแคมป์ปิ้ง
"Pet Goods",สินค้าสัตว์เลี้ยง
"Pharma and Medical Devices",ยาและอุปกรณ์การแพทย์
"Technology B2B","เทคโนโลยี B2B"
Other,อื่นๆ
"The time value is using an unsupported format. Enter a supported format and try again.","ค่าเวลาใช้รูปแบบที่ไม่รองรับ ป้อนรูปแบบที่รองรับแล้วลองอีกครั้ง"
"Please select an industry.",กรุณาเลือกอุตสาหกรรม
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","ข้อมูลไม่ถูกต้อง ป้อนข้อมูลเป็นสตริงหรือข้อมูลที่สามารถแปลงเป็นสตริงแล้วลองอีกครั้ง"
"The data is invalid. Enter the data as a string and try again.","ข้อมูลไม่ถูกต้อง ป้อนข้อมูลเป็นสตริงแล้วลองอีกครั้ง"
"The data is invalid. Use a valid cipher method and try again.","ข้อมูลไม่ถูกต้อง ใช้วิธีการเข้ารหัสที่ถูกต้องแล้วลองอีกครั้ง"
"Enter the encryption key and try again.",ป้อนคีย์เข้ารหัสแล้วลองอีกครั้ง
"The ""%1"" source doesn't exist.","ไม่มีแหล่งที่มา ""%1"""
"Retry Synchronization",ลองซิงโครไนซ์อีกครั้ง
Done,เสร็จสิ้น
Retry,ลองอีกครั้ง
"'Action Details - #' .","'รายละเอียดการดำเนินการ - #'"
"%1 item(s) have been scheduled for update.""","%1 รายการถูกกำหนดให้อัปเดตแล้ว"""
"Bulk Actions Log",บันทึกการดำเนินการเป็นกลุ่ม
"Bulk uuid %bulkUuid not exist","Uuid จำนวนมาก %bulkUuid ไม่มีอยู่"
"Topic %1","หัวข้อ %1"
"Something went wrong while processing the request.",เกิดข้อผิดพลาดขณะดำเนินการตามคำขอ
"Error processing %key element of input data","เกิดข้อผิดพลาดในการประมวลผล % องค์ประกอบสำคัญของข้อมูลอินพุต"
"Sorry, something went wrong during product prices update. Please see log for details.","ขออภัย มีบางอย่างผิดพลาดระหว่างการอัปเดตราคาผลิตภัณฑ์ โปรดดูบันทึกสำหรับรายละเอียด"
"%1 item(s) are currently being updated.","กำลังอัปเดต %1 รายการในขณะนี้"
"Task ""%1"": ","งาน ""%1"": "
"%1 item(s) have been scheduled for update.","%1 รายการได้รับการกำหนดเวลาสำหรับการอัปเดตแล้ว"
"%1 item(s) have been successfully updated.","อัปเดต %1 รายการเรียบร้อยแล้ว"
"%1 item(s) failed to update","%1 รายการล้มเหลวในการอัปเดต"
Details,รายละเอียด
"View Details",ดูรายละเอียด
Dismiss,อนุญาตให้ออกไป
"Pending, in queue...",รออยู่ในคิว...
"%1 items selected for mass update","เลือก %1 รายการสำหรับการอัปเดตจำนวนมาก"
", %1 successfully updated",", %1 อัปเดตสำเร็จแล้ว"
", %1 failed to update",", %1 ล้มเหลวในการอัปเดต"
"Something went wrong.",บางอย่างผิดพลาด.
"Action Log",บันทึกการดำเนินการ
Report,รายงาน
"Bulk Actions",การดำเนินการเป็นกลุ่ม
"Action Logs",บันทึกการดำเนินการ
"Days Saved in Log","วันที่บันทึกไว้ใน Log"
"Description of Operation","คำอธิบายของ Operation"
Summary,ภาพรวม
"Start Time",วันที่เริ่มต้น
"Items to Retry",รายการที่จะลองอีกครั้ง
"To retry, select the items and click “Retry”.","หากต้องการลองอีกครั้ง ให้เลือกรายการแล้วคลิก ""ลองใหม่"""
"Items That Can’t Be Updated.",รายการที่ไม่สามารถอัปเดตได้
Status,สถานะ
"Meta Information",ข้อมูลเมตา
Error,ข้อผิดพลาด
"Dismiss All Completed Tasks",ปิดงานที่เสร็จสมบูรณ์ทั้งหมด
"Action Details - #","รายละเอียดการดำเนินการ - #"
"Number of Records Affected",จำนวนบันทึกที่ได้รับผลกระทบ
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","เกิดข้อผิดพลาดขณะรวบรวมรายการทรัพยากรที่อนุญาต คุณสามารถหาข้อมูลเพิ่มเติมได้ใน exceptions log."
"The role wasn't found for the user. Verify the role and try again.","ไม่พบบทบาทสำหรับผู้ใช้ ยืนยันบทบาทแล้วลองอีกครั้ง"
"You created the order.",คุณสร้างคำสั่งซื้อ
"Order saving error: %1","ข้อผิดพลาดในการบันทึกคำสั่งซื้อ: %1"
"Please choose a payment method.",โปรดเลือกวิธีการชำระเงิน
"We can't process your order right now. Please try again later.","เราไม่สามารถดำเนินการตามคำสั่งซื้อของคุณได้ในขณะนี้ โปรดลองอีกครั้งในภายหลัง."
"An error occurred on the server. Please try to place the order again.","เกิดข้อผิดพลาดบนเซิร์ฟเวอร์ โปรดลองสั่งซื้ออีกครั้ง"
"Credit Card: xxxx-%1","บัตรเครดิต: xxxx-%1"
"amount %1","จำนวน %1"
failed.,ล้มเหลว.
successful.,สำเร็จแล้ว
"Authorize.Net Transaction ID %1.","รหัสธุรกรรม Authorize.Net %1"
authorize,อนุญาต
"authorize and capture",อนุญาตและข้อมูลที่ได้
capture,ข้อมูลที่บันทึก
refund,คืนเงิน
void,ยกเลิก
"Gateway error: %1","ข้อผิดพลาดของเกตเวย์: %1"
"Payment capturing error.","Payment capturing เกิดข้อผิดพลาด"
"Invalid transaction ID.","Transaction ID ใช้ไม่ได้"
"Authorize Only","Authorize เท่านั้น"
"Authorize and Capture","Authorize และ Capture"
"Credit Card Type",ประเภทบัตรเครดิต
"Please Select",กรุณาเลือก
"Credit Card Number",หมายเลขบัตรเครดิต
"Expiration Date",วันหมดอายุ
"Card Verification Number",รหัสยืนยันของบัตร
"Place Order",สั่งสินค้า
Enabled,เปิดใช้งาน
"Test Mode",โหมดทดสอบ:
"Credit Card Types",ประเภทบัตรเครดิต
"Sort Order",การเรียงลำดับ
options,ตัวเลือก
"Select all",เลือกทั้งหมด
"Deselect all",ไม่เลือกทั้งหมด
"%s of %s selected","เลือก %s จาก %s"
"B2B Features","B2B คุณสมบัติ"
"Invalid Form Key. Please refresh the page.","รหัสฟอร์มไม่ถูกต้อง กรุณารีเฟรชหน้า"
"You entered an invalid Secret Key. Please refresh the page.","คุณป้อนรหัสลับไม่ถูกต้อง กรุณารีเฟรชหน้า"
"Cache Storage Management",การจัดการที่เก็บแคช
"Flush Magento Cache","ล้างแคชของ Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","ที่จัดเก็บแคชอาจประกอบด้วยข้อมูลอื่นเพิ่มเติม คุณแน่ใจหรือไม่ว่าต้องการล้างมัน?"
